time (s)        x (m)       z (m)   Vx (m/s)    Vz (m/s)
       0         0.00        0.00     210.00        4.74
       5      1038.59       93.61     205.13       27.74
      10      2030.71      290.46     193.15       46.26
      15      2948.49      557.31     176.81       56.91
      20      3780.56      849.41     159.60       58.16
      25      4532.20     1120.18     144.60       50.37
      30      5220.72     1329.06     133.72       35.22
      35      5869.13     1446.17     127.64       15.07
      40      6501.53     1454.43     126.34       -7.42
      45      7141.75     1350.50     129.83      -29.45
      50      7814.45     1145.13     138.37      -48.20
      55      8545.35      863.03     152.04      -60.91
      60      9357.96      542.31     169.95      -64.99
      65     10266.90      232.30     189.69      -58.53
      70     11269.97      -12.31     207.32      -41.13
      75     12343.11     -141.85     218.34      -14.82
      80     13442.16     -124.67     219.31       15.78
      85     14513.04       42.39     209.38       44.48
      90     15507.04      331.68     190.87       65.43
      95     16394.34      692.26     168.32       74.93
     100     17169.67     1063.38     146.63       72.18
     105     17848.77     1387.64     129.36       58.70
     110     18459.32     1619.31     118.10       37.22
     115     19031.62     1727.53     112.78       10.81
     120     19593.67     1697.20     112.86      -17.34
     125     20172.34     1529.28     118.42      -44.00
     130     20797.26     1240.94     130.25      -65.93
     135     21501.57      865.81     148.81      -79.79
     140     22316.17      454.30     172.89      -82.25
     145     23258.84       71.71     198.87      -70.74
     150     24322.18     -210.03     220.90      -44.97
     155     25466.94     -328.15     232.56       -8.34
     160     26626.92     -248.49     229.54       32.02
     165     27726.96       21.07     211.92       67.25
     170     28706.55      431.43     184.38       89.94
     175     29537.12      907.73     154.05       96.63
     180     30225.06     1370.50     127.44       87.97
     185     30801.53     1752.12     108.31       67.21
     190     31307.06     2003.75      97.33       38.23
     195     31778.92     2095.44      93.20        4.70
     200     32247.05     2015.05      94.64      -29.82
     205     32740.33     1768.35     102.28      -61.78
     210     33295.33     1378.84     118.02      -87.58
     215     33956.63      889.26     142.96     -103.14
     220     34766.71      364.60     175.47     -103.84
     225     35748.69     -108.58     210.11      -85.87
     230     36887.75     -434.04     238.06      -48.91
     235     38121.80     -530.68     249.99        1.57
     240     39352.08     -362.27     240.51       54.55
     245     40474.13       45.07     211.52       97.30
     250     41414.08      610.57     171.57      120.73
     255     42149.61     1227.70     131.43      122.44
     260     42706.33     1796.05      99.38      105.73
     265     43136.94     2240.15      78.84       76.22
     270     43497.52     2511.90      68.84       39.02
     275     43831.19     2584.66      66.06       -2.05
     280     44166.10     2449.71      68.29      -43.41
     285     44531.61     2116.44      77.50      -81.50
     290     44974.23     1611.67      97.54     -112.72
     295     45555.85      984.46     130.59     -131.88
     300     46337.85      315.43     174.71     -132.07
     305     47354.42     -280.61     222.01     -107.00
     310     48582.86     -671.16     259.10      -55.64
     315     49928.43     -745.70     271.79       13.65
     320     51243.28     -463.54     252.90       83.73
     325     52379.34      121.96     207.37      135.94
     330     53245.07      883.52     149.89      159.09
     335     53830.26     1671.63      96.57      153.17
     340     54189.46     2362.22      57.61      125.87
     345     54404.58     2876.40      35.41       86.38
     350     54551.06     3174.30      26.63       41.24
     355     54678.13     3238.47      25.13       -6.29
     360     54807.35     3064.01      26.90      -53.77
     365     54966.07     2658.40      36.47      -98.92
     370     55213.28     2041.32      60.37     -138.69
     375     55634.77     1258.32     102.84     -166.27
     380     56322.97      401.49     162.74     -170.88
     385     57338.21     -379.02     229.72     -141.10
     390     58658.32     -893.97     283.50      -72.76
     395     60146.53     -977.54     300.98       22.75
     400     61578.17     -570.19     270.20      118.52
